,acc_x,acc_y,acc_z,freeacc_x,freeacc_y,freeacc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
157,-0.000569,-0.130208,9.823333,0.106802,0.030623,-0.01088,-0.017974,0.011214,0.003562,-0.136963,-0.117676,-1.465088
158,-0.015875,-0.142967,9.793852,0.096554,0.012668,0.018263,-0.015248,0.012001,0.007368,-0.137207,-0.113281,-1.465088
159,0.020968,-0.187687,9.832206,0.146263,-0.016162,-0.020231,-0.020751,0.013019,0.005313,-0.133057,-0.113281,-1.460693
160,0.001094,-0.160704,9.789725,0.118074,0.001754,0.022356,-0.018026,0.013805,0.009118,-0.13916,-0.117676,-1.467285
161,0.000188,-0.155224,9.766436,0.114819,0.006368,0.045695,-0.021425,0.014642,0.003769,-0.13501,-0.119629,-1.462646
162,0.012411,-0.153463,9.819135,0.126119,0.013161,-0.006836,-0.017993,0.014329,0.005747,-0.134766,-0.121826,-1.460449
163,0.016479,-0.180438,9.785561,0.138627,-0.011373,0.026438,-0.018683,0.012315,0.005382,-0.136963,-0.121826,-1.462646
164,0.015716,-0.174878,9.762276,0.135825,-0.006768,0.04978,-0.019391,0.013413,0.007209,-0.13501,-0.117432,-1.460449
165,0.002726,-0.141239,9.875859,0.11226,0.02205,-0.063519,-0.018012,0.010693,0.00692,-0.132813,-0.117432,-1.467285
166,0.012177,-0.19336,9.808713,0.138674,-0.024731,0.003072,-0.018648,0.016215,0.002518,-0.13916,-0.117676,-1.465088
167,0.011276,-0.187753,9.785431,0.13543,-0.02011,0.026407,-0.018667,0.012579,0.003692,-0.13501,-0.117432,-1.460449
168,0.024754,-0.170977,9.79165,0.142282,0.000216,0.020547,-0.016652,0.011084,0.00882,-0.13501,-0.115479,-1.462891
169,-0.011126,-0.184744,9.812678,0.112898,-0.024685,-0.001055,-0.022099,0.012895,0.001707,-0.136963,-0.117676,-1.465088
170,0.008199,-0.185923,9.762081,0.131051,-0.019816,0.049732,-0.018668,0.012579,0.003688,-0.13916,-0.113281,-1.469727
171,0.0063,-0.195268,9.785288,0.132187,-0.028787,0.026384,-0.020048,0.0153,0.003975,-0.133057,-0.115479,-1.465088
172,-0.015677,-0.198,9.835802,0.112859,-0.038041,-0.024399,-0.01865,0.012843,0.002002,-0.132813,-0.121826,-1.464844
173,0.008416,-0.231526,9.774866,0.146336,-0.062215,0.036369,-0.017922,0.015385,-0.001002,-0.132813,-0.117432,-1.465088
174,-0.017295,-0.186628,9.789249,0.10689,-0.028743,0.022269,-0.01798,0.01122,0.003539,-0.134766,-0.121826,-1.467041
175,-0.037449,-0.166871,9.770047,0.080549,-0.017511,0.041491,-0.01867,0.01258,0.003682,-0.13916,-0.119629,-1.464844
176,-0.025291,-0.165221,9.822774,0.091792,-0.010886,-0.011073,-0.020012,0.015829,0.0006,-0.13916,-0.117676,-1.462646
177,-0.059747,-0.156571,9.774041,0.05576,-0.015307,0.037381,-0.01869,0.012316,0.005362,-0.13916,-0.115479,-1.462891
178,-0.042065,-0.179992,9.793164,0.080519,-0.030914,0.018159,-0.019361,0.013941,0.003821,-0.136963,-0.119629,-1.469482
179,-0.068349,-0.142699,9.830807,0.042783,-0.004318,-0.019298,-0.018652,0.012846,0.001992,-0.137207,-0.115479,-1.467285
180,-0.063049,-0.154612,9.750697,0.051357,-0.014962,0.060707,-0.018653,0.012846,0.001991,-0.141113,-0.117676,-1.467285
181,-0.055563,-0.120416,9.81383,0.04637,0.020675,-0.001908,-0.019363,0.010568,0.003306,-0.137207,-0.115479,-1.462891
182,-0.057992,-0.137183,9.860253,0.05015,0.004736,-0.048561,-0.016563,0.015778,0.000896,-0.13501,-0.115479,-1.458252
183,-0.042976,-0.098053,9.796879,0.050029,0.0457,0.015458,-0.021434,0.011275,0.003223,-0.132813,-0.117432,-1.465088
184,-0.019052,-0.139067,9.759151,0.086137,0.014781,0.052918,-0.017254,0.010392,1.5e-05,-0.13501,-0.113281,-1.469482
185,-0.031802,-0.098394,9.849616,0.060222,0.050079,-0.03716,-0.021395,0.01518,0.000365,-0.13501,-0.117432,-1.462646
186,0.026049,-0.135036,9.814158,0.126921,0.035063,-0.001551,-0.017965,0.011487,0.00184,-0.136963,-0.119629,-1.464844
187,-0.008185,-0.126117,9.765418,0.090978,0.030777,0.046924,-0.017275,0.0135,0.002207,-0.134766,-0.121826,-1.464844
188,0.007556,-0.172232,9.854186,0.122223,-0.00561,-0.042247,-0.022127,0.016009,0.003871,-0.138916,-0.121826,-1.464844
189,0.021814,-0.140769,9.814087,0.124311,0.02845,-0.001605,-0.020037,0.015569,0.002267,-0.136963,-0.117676,-1.465088
190,0.060129,-0.16301,9.782711,0.16787,0.020039,0.029895,-0.013177,0.011553,0.005732,-0.136963,-0.119629,-1.464844
191,0.052682,-0.146941,9.839567,0.15545,0.033038,-0.026835,-0.015206,0.016167,0.002796,-0.13916,-0.117676,-1.467285
192,0.142603,0.239795,9.81404,0.10714,0.426419,0.004532,-0.015418,0.013502,0.019628,-0.13501,-0.115479,-1.462891
193,0.211695,0.625087,9.839178,0.039562,0.812525,-0.014989,-0.0244,0.017469,-0.035819,-0.133057,-0.113281,-1.460693
194,0.26259,0.126506,9.756083,0.258016,0.360531,0.062326,-0.018237,0.004478,-0.089025,-0.134766,-0.121826,-1.462646
195,-0.083165,-0.630202,9.835083,0.193315,-0.467753,-0.029912,-0.010846,0.034763,0.042281,-0.13916,-0.117676,-1.458252
196,-0.351896,-1.117979,9.797899,0.109243,-1.018577,-0.001746,-0.020004,0.00956,0.053128,-0.136963,-0.121826,-1.462646
197,0.029149,-0.176302,9.833032,0.143186,-0.002608,-0.020926,-0.028584,0.005071,0.020579,-0.137207,-0.113281,-1.460693
198,0.028322,-0.178934,9.832987,0.142602,-0.004798,-0.020933,-0.024893,0.011333,0.002886,-0.141113,-0.124023,-1.460205
