NO_OF_FRAMES	9217
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	150
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-01-16, 10:54:23.294	2216.09629770
DATA_INCLUDED	3D
MARKER_NAMES	marker1		
Frame	Time	marker1 X	marker1 Y	marker1 Z	 X	 Y	 Z	 X	 Y	 Z	
174	1.15333	966.003	289.404	84.012	0.000	0.000	0.000	0.000	0.000	0.000
175	1.16000	966.104	289.374	84.002	0.000	0.000	0.000	0.000	0.000	0.000
176	1.16667	966.135	289.403	84.001	0.000	0.000	0.000	0.000	0.000	0.000
177	1.17333	966.198	289.386	83.938	0.000	0.000	0.000	0.000	0.000	0.000
178	1.18000	966.283	289.365	83.920	0.000	0.000	0.000	0.000	0.000	0.000
179	1.18667	966.343	289.400	83.902	0.000	0.000	0.000	0.000	0.000	0.000
180	1.19333	966.353	289.409	83.934	0.000	0.000	0.000	0.000	0.000	0.000
181	1.20000	966.406	289.399	83.865	0.000	0.000	0.000	0.000	0.000	0.000
182	1.20667	966.419	289.359	83.868	0.000	0.000	0.000	0.000	0.000	0.000
183	1.21333	966.434	289.425	83.854	0.000	0.000	0.000	0.000	0.000	0.000
184	1.22000	966.477	289.430	83.840	0.000	0.000	0.000	0.000	0.000	0.000
185	1.22667	966.471	289.450	83.829	0.000	0.000	0.000	0.000	0.000	0.000
186	1.23333	966.474	289.551	83.840	0.000	0.000	0.000	0.000	0.000	0.000
187	1.24000	966.514	289.583	83.883	0.000	0.000	0.000	0.000	0.000	0.000
188	1.24667	966.438	289.511	83.813	0.000	0.000	0.000	0.000	0.000	0.000
189	1.25333	966.495	289.588	83.828	0.000	0.000	0.000	0.000	0.000	0.000
190	1.26000	966.463	289.505	83.830	0.000	0.000	0.000	0.000	0.000	0.000
191	1.26667	966.477	289.573	83.807	0.000	0.000	0.000	0.000	0.000	0.000
192	1.27333	966.468	289.564	83.775	0.000	0.000	0.000	0.000	0.000	0.000
193	1.28000	966.521	289.658	83.771	0.000	0.000	0.000	0.000	0.000	0.000
194	1.28667	966.552	289.640	83.803	0.000	0.000	0.000	0.000	0.000	0.000
195	1.29333	966.616	289.674	83.807	0.000	0.000	0.000	0.000	0.000	0.000
196	1.30000	966.612	289.657	83.779	0.000	0.000	0.000	0.000	0.000	0.000
197	1.30667	966.646	289.713	83.762	0.000	0.000	0.000	0.000	0.000	0.000
198	1.31333	966.670	289.735	83.771	0.000	0.000	0.000	0.000	0.000	0.000
199	1.32000	966.722	289.716	83.759	0.000	0.000	0.000	0.000	0.000	0.000
200	1.32667	966.758	289.741	83.747	0.000	0.000	0.000	0.000	0.000	0.000
201	1.33333	966.787	289.751	83.723	0.000	0.000	0.000	0.000	0.000	0.000
202	1.34000	966.835	289.754	83.711	0.000	0.000	0.000	0.000	0.000	0.000
203	1.34667	966.865	289.759	83.729	0.000	0.000	0.000	0.000	0.000	0.000
204	1.35333	966.909	289.785	83.704	0.000	0.000	0.000	0.000	0.000	0.000
205	1.36000	966.953	289.777	83.732	0.000	0.000	0.000	0.000	0.000	0.000
206	1.36667	967.007	289.771	83.755	0.000	0.000	0.000	0.000	0.000	0.000
207	1.37333	967.013	289.787	83.745	0.000	0.000	0.000	0.000	0.000	0.000
208	1.38000	967.078	289.801	83.729	0.000	0.000	0.000	0.000	0.000	0.000
209	1.38667	967.090	289.789	83.740	0.000	0.000	0.000	0.000	0.000	0.000
210	1.39333	967.136	289.805	83.738	0.000	0.000	0.000	0.000	0.000	0.000
211	1.40000	967.103	289.807	83.710	0.000	0.000	0.000	0.000	0.000	0.000
212	1.40667	967.172	289.829	83.721	0.000	0.000	0.000	0.000	0.000	0.000
213	1.41333	967.171	289.839	83.746	0.000	0.000	0.000	0.000	0.000	0.000
214	1.42000	967.175	289.851	83.720	0.000	0.000	0.000	0.000	0.000	0.000
